date,mean
2022-06-01,0.4929744586027551
2022-06-02,0.2863877656559888
2022-06-03,0.8109374175860671
2022-06-04,0.4721229948349484
2022-06-05,0.76739093879768
2022-06-06,0.96358640041431
2022-06-07,0.9139299460931216
2022-06-08,0.938160086293154
2022-06-09,0.7005894317294008
2022-06-10,0.848000597133686
2022-06-11,0.9811375212414224
2022-06-12,0.4811874584105663
2022-06-13,0.2138736782253965
2022-06-14,0.96759102441524
2022-06-15,0.9840370079551662
2022-06-16,0.8806805548802267
2022-06-17,0.7630468498054135
2022-06-18,0.98020764162809
2022-06-19,0.341994362604344
2022-06-20,0.579570154615103
2022-06-21,0.9404771032514422
2022-06-22,0.7645465935429044
2022-06-23,0.9064531670079492
2022-06-24,0.1400715059925849
2022-06-25,0.0249667013454348
2022-06-26,0.593387607425209
2022-06-27,0.0540679904693962
2022-06-28,0.0985800227523999
2022-06-29,0.0616950096069198
2022-06-30,0.298885483705808
2022-07-01,0.2693376938381661
2022-07-02,0.2578814226239013
2022-07-03,0.8636541594894538
2022-07-04,0.9730973594055612
2022-07-05,0.975934239063852
2022-07-06,0.9127171560363522
2022-07-07,0.6163189334095197
2022-07-08,0.6864772715364728
2022-07-09,0.5840108142075358
2022-07-10,0.4010709302437764
2022-07-11,0.5529936162760012
2022-07-12,0.9351863871788726
2022-07-13,0.957022145242156
2022-07-14,0.955990675163485
2022-07-15,0.9662528462537848
2022-07-16,0.986888388663142
2022-07-17,0.5842582393138408
2022-07-18,0.5271075835696872
2022-07-19,0.9349859150128612
2022-07-20,0.3437108935272563
2022-07-21,0.5387433598746311
2022-07-22,0.4397744181070515
2022-07-23,0.2484199269248253
2022-07-24,0.1884419555974796
2022-07-25,0.2221109417246575
2022-07-26,0.8778640378637007
2022-07-27,0.3095369253523268
2022-07-28,0.3632223495100453
2022-07-29,0.0330464812237374
2022-07-30,0.2015009472014662
